content,date
very good,2025-12-25
👍🏻,2025-12-25
super 👌,2025-12-25
okay,2025-12-25
very good,2025-12-25
good,2025-12-25
excellent,2025-12-25
no delivery partner,2025-12-25
Great sumptuous cakes at Theobroma,2025-12-25
osm ✌️♥️,2025-12-25
good,2025-12-25
Good Service 💯,2025-12-25
not a good platform. Zomato is better than that. Customer resolution is not good. They are fooling the customer. delivery is also worse.,2025-12-25
fata fat😋,2025-12-25
❤️,2025-12-25
nice,2025-12-25
Very good app. Fast delivery. Lots of discount options and Swiggy Blck membership is excellent,2025-12-25
"Nice offers ,Good. Deals",2025-12-25
The best 👌,2025-12-25
super app,2025-12-25
horrible app and service. the most frustrating experience of my life. switch to other similar apps. do NOT use this one. they use AI chat box which makes things worse and their relief for wasting your time and money is simply refund without accountability.,2025-12-25
soo sad,2025-12-25
yh sbse acha dilivery app h sabhi is app install kre,2025-12-25
good,2025-12-25
excellent,2025-12-25
Good,2025-12-25
bad app. I can't see my previous orders. worst app,2025-12-25
supper,2025-12-25
nice,2025-12-25
disappointing bcz not delivering to our adress,2025-12-25
super,2025-12-25
never on time,2025-12-25
i ordered so many foods in cheap price compared to other and daily best offer,2025-12-25
good,2025-12-25
good,2025-12-25
good,2025-12-25
good service,2025-12-25
good,2025-12-25
good,2025-12-25
by this experience I never order in paradise in life because they sent taste less mutton biryani. they sent only two small pieces of mutton.but it was not taste like mutton.and order came 40 minutes late.its bad experience,2025-12-25
good delivery,2025-12-25
good offers,2025-12-25
good,2025-12-25
not bad,2025-12-25
dependable at times,2025-12-25
good,2025-12-25
good,2025-12-25
super,2025-12-25
"why in the name of holy jesus would you remove the filter option for dishes and restaurant, now I have to view every resto to check if they have my dish",2025-12-25
very worst service and fooling customers with wrong offers. please be careful. if you get defective product like what I got pestful rice bag. they refused the return and refund even though the product is unusable. and again any free items they mentioned for perticular size of order only you will get sorry for the inconvenience not the free item,2025-12-25
👌,2025-12-25
worst app ever,2025-12-25
Stop showing pop up for credit CARD every time... I m not applying for it... Please STOP,2025-12-25
no food delivery guarantee. order cancelled after 1 hour 20 min of ordering. Swiggy should be penalized for such poor service,2025-12-25
good,2025-12-25
good 👍,2025-12-25
Swiggy is really helpful. It delivers the items literally in 10 to 15 mins.,2025-12-25
Good,2025-12-25
good,2025-12-25
good 😊,2025-12-25
i have order food today I have ordered t 11.40 now time is 1.30 it's more than 1.30 hours till now my order is not game i have paid the amount also my lunch time is over when will I get my lunch .the order status showing that arrived at location but when my called delivery boy he telling that another one will come ...just I don't like the behaviour I hve ordered for my afternoon lunch not for dinner😡😡😡😡😡😡😡😡😡,2025-12-25
very bad this time a Christmas offer is not received me and on app showing is that best order cafe name is italian cafe address Manipal University jaipur and this cafe showing a food last 2 days i will orederd but it was not delivered and everytime says some items is outof stock so I will vary unsatisfied with this restaurant very bad 😞😞,2025-12-25
best food addaa,2025-12-25
super,2025-12-25
best app for food delivery,2025-12-25
good,2025-12-25
osm,2025-12-25
good service,2025-12-25
very good 😊😊,2025-12-25
Getting worse day by day. Took an hour to deliver my order from a place 5 mins away just because they added another order with mine and delivered that first. I doubt ill be using it again,2025-12-25
happy,2025-12-25
not good sarviss,2025-12-25
super offer swiggy,2025-12-25
good service,2025-12-25
good 😊,2025-12-25
best,2025-12-25
good,2025-12-25
nice,2025-12-25
good only,2025-12-25
OK,2025-12-25
